;;;;;;;
;;"MASTER HÝJYEN 
TEMÝZLÝK KIRTASÝYE VE GIDA ÜRÜNLERÝ ";;"Doðan Kazoðlu
0554 140 6565
dogan@masterhijyen.com";;masterhijyen.com;
;;;;;;;
ÜRÜN FOTOÐRAF;*;ÜRÜN KOD;ÜRÜN ÝSÝM;ÜRÜN BÝLGÝ;BÝRÝM;KDV;FÝYAT..
;;;;;;;
;**;KRT.BRD-4 3000;KARTON BARDAK 4 OZ (50 ADET X 60 PAKET);2,5 GR;KOLÝ;20%;?900,00
;**;KRT.BRD-6 3000;KARTON BARDAK 6 OZ (50 ADET X 60 PAKET);3,3 GR;KOLÝ;20%;?950,00
;**;KRT.BRD-7STD 3000;KARTON BARDAK 7 OZ STANDART (50 ADET X 60 PAKET);3,6 GR;KOLÝ;20%;?1.000,00
;**;KRT.BRD-8 2000;KARTON BARDAK 8 OZ (50 ADET X 40 PAKET);5,7 GR;KOLÝ;20%;?1.500,00
;**;KRT.BRD-12 2000;KARTON BARDAK 12 OZ (100 ADET X 20 PAKET);6,5 GR;KOLÝ;20%;?1.650,00
;**;KRS.THT-500;TAHTA KARIÞTIRICI 500' LÜ PAKET ;500 ADET;PAKET;20%;?80,00
;**;KRS.THT-1000;TAHTA KARIÞTIRICI 1000'LÝ PAKET;1000 ADET;PAKET;20%;?140,00
;**;ÞKR.IRM-SRG 1000;IRMAK TEK SARGILI KÜP ÞEKER;500 GR;PAKET;20%;?45,00
;**;ÞKR.KUP-SRG 1000;SARGILI KÜP ÞEKER ;5000 GR; KOLÝ;20%;?300,00
;**;ÞKR.STK-BYZ 4000;BEYAZ STÝCK TOZ ÞEKER ( 4 gr x 1000 );4000 GR;KOLÝ;20%;?320,00
;**;KHV.FLT-KGD 100;COFFE TÝME FÝLTRE KAHVE KAÐIDI NO:4 ;40 ADET;PAKET;20%;?35,00
;**;KHV.FLT-COL 1000;FÝLTRE KAHVE COLOMBÝA;500GR;PAKET;20%;?385,00
;**;ÇAY.CKR-TRY 1000;ÇAYKUR TÝRYAKÝ DÖKME ÇAY 1KG;1000 GR;PAKET;20%;?245,00
;**;ÇAY.CKR-TRY 2000;ÇAYKUR TÝRYAKÝ DÖKME ÇAY 2KG;2000 GR;PAKET;20%;?500,00
;**;ÇAY.CKR-TMR 125;ÇAYKUR TOMURCUK ÇAY 125 gr ;125 GR;PAKET;20%;?65,00
;**;ÇAY.DGS-TRY 1000;DOÐUÞ TÝRYAKÝ DÖKME ÇAY;5000 GR;PAKET;20%;?1.100,00
;**;ÇAY.LPT-YLW 32000;LÝPTON DEMLÝK YELLOW LABEL (100 AD. X320 GR );16 PAKET;KOLÝ;20%;?2.200,00
;**;KHV.NST-BYZ 1000;NESTLE COFFE MATE KAHVE BEYAZLATICI;400GR;PAKET;20%;?220,00
;**;KHV.NSC-CLS 1000;NESCAFE CLASSIC  ÇÖZÜNEBÝLÝR KAHVE ;1000 GR;PAKET;20%;?2.200,00
;**;KHV.NSC-CLS 1000;NESCAFE CLASSIC ÇÖZÜNEBÝLÝR KAHVE ;200 GR;PAKET;20%;?290,00
;**;KHV.NSC-GLD 1000;NESCAFE GOLD ÇÖZÜNEBÝLÝR KAHVE ;100 GR;PAKET;20%;?230,00
;**;KHV.NST-MAT 500;NESTLE COFFE MATE (5 gr x100);500 GR;PAKET;20%;?245,00
;**;KHV.MEF-TRK 1000;MEHMET EFENDÝ TÜRK KAHVESÝ;100 GR;PAKET;20%;?80,00
;**;KHV.MEF-TRK 72;MEHMET EFENDÝ TÜRK KAHVESÝ (12 x6 gr);6 GR;KOLÝ;20%;?85,00
